X,Y,address,parcel_id,demolition_date,council_district,neighborhood,emergency_demo,street_number,street_direction,street_name,street_type,block_range,property_longitude,property_latitude,ObjectId
-83.160204,42.380194,12315 Washburn,16039963,2014,7,Grand River-I96,Yes,12315,,WASHBURN,St,12100-12599 Washburn St,-83.160204,42.380194,11731
-83.02586,42.391021,7436 Maywood,15001468,2014,3,Airport Sub,Yes,7436,,MAYWOOD,St,7400-7601 Maywood St,-83.02586,42.391021,18309
-83.143155,42.347307,7403 Prairie,18013547,2014,6,Midwest,Yes,7403,,PRAIRIE,St,7400-7699 Prairie St,-83.143155,42.347307,19344
-83.084022,42.379697,621 Hazelwood,4002296,2014,5,Piety Hill,No,621,,HAZELWOOD,St,600-799 Hazelwood St,-83.084022,42.379697,13324
-83.22548,42.382987,12872 Stahelin,22083001,2014,1,Schoolcraft Southfield,No,12872,,STAHELIN,Ave,12000-12899 Stahelin Ave,-83.22548,42.382987,16161
-83.211303,42.376307,12125 Abington Ave,22066430,2014,7,Plymouth-I96,Yes,12125,,ABINGTON AVE,Ave,12000-12199 Abington Ave,-83.211303,42.376307,17029
-83.271063,42.404452,15728 Virgil,22121052,2014,1,Brightmoor,Yes,15728,,VIRGIL,St,15700-15799 Virgil St,-83.271063,42.404452,18435
-83.26229,42.40411,15707 Lamphere,22116477,2014,1,Brightmoor,No,15707,,LAMPHERE,St,15700-15799 Lamphere St,-83.26229,42.40411,20514
-83.088682,42.378563,906 Hazelwood,4002339,2014,5,Piety Hill,No,906,,HAZELWOOD,St,800-957 Hazelwood St,-83.088682,42.378563,1221
-83.083076,42.374988,729 W Euclid,4001939,2014,5,Piety Hill,No,729,W,EUCLID,St,600-799 W Euclid St,-83.083076,42.374988,13802
